danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.787,0.573,-6.197,111.996,0.575,0.0147,19,6gcuJpHu0Ey30D5WR76y98
0.61,0.571,-5.649,105.01,0.747,0.00863,14,6iF4RgIjDvDqyW13PezSj3
0.49,0.352,-11.577,99.992,0.166,0.709,18,6GGtHZgBycCgGBUhZo81xe
0.916,0.583,-8.067,141.095,0.661,0.186,11,2FDTHlrBguDzQkp7PVj16Q
0.545,0.152,-17.995,90.869,0.075,0.91,1,0UC6CJgTFCikxLJZMNw8Xu
0.435,0.104,-22.39,120.484,0.162,0.973,1,5Qnrgqy1pAm9GyNQOgyVFz
0.44,0.04,-16.887,135.965,0.249,0.981,13,4IhTXiZLKATmwhMZIb1GQN
0.554,0.225,-11.324,104.007,0.221,0.892,18,0ElpbbncWT9aS7mgoqEHbQ
0.397,0.446,-7.032,178.05,0.214,0.49,8,0wrWxW18WK2MkrfDpRHkyh
0.379,0.29,-8.485,166.467,0.169,0.952,8,6k8kLJFmWkHaTbSLUhJ3H0
0.319,0.757,-6.117,122.465,0.101,0.016,3,5lRzWDEe7UuedU2QPsFg0K
0.862,0.314,-8.269,114.472,0.502,0.108,19,4Tzw9IdZbVyzmpWrvsGaNX
0.307,0.371,-8.498,115.241,0.189,0.923,12,2kfGoV9a5dbSKCNmUWH2ZF
0.706,0.46,-9.061,102.98,0.226,0.847,16,6iWEhoALoBFnQMNVhYY0Sc
0.581,0.38,-12.162,135.939,0.489,0.897,16,693xmBAOD4xwkS4W71W1Jn
0.581,0.163,-14.686,77.748,0.475,0.923,18,2ndWbjiiNBEOrlfToKlABE
0.49,0.104,-13.208,86.675,0.278,0.964,18,0fB77VOZ2FkQeKLv1DuEwp
0.424,0.437,-8.588,174.127,0.131,0.962,8,0jZO7p0nBUi9VHedWUBS9l
0.567,0.131,-14.124,104.784,0.0657,0.888,13,5xYpEeGFXmkGMBQ22NfKfO
0.319,0.294,-15.812,124.548,0.12,0.725,13,55Y5p2XyPaYBPGtzj1f9fE
0.698,0.633,-6.68,94.085,0.55,0.0508,19,6vTtCOimcPs5H1Jr9d0Aep
0.443,0.865,-4.547,110.008,0.474,0.00724,0,4Ai0ANRDYwx6mCD4Uty1WS
0.271,0.714,-5.124,94.158,0.239,0.392,12,5rfT032kGmLvbxZzfHlu5D
0.434,0.531,-9.553,131.199,0.641,0.781,5,1WBSFlSLyOZnSa8fj7a5yC
0.404,0.0182,-20.969,109.107,0.114,0.964,1,2QFyOnJfJ49OnNgMvKXvTM
0.521,0.0889,-19.457,115.428,0.0478,0.988,1,7nDXmx3FuyeX7FI7PFl2iX
0.63,0.423,-7.705,90.019,0.319,0.507,5,0z29wv0x2IXrpWxNgICET7
0.397,0.0666,-20.405,137.313,0.0389,0.963,1,1ZVbf755wkzFApNhrGNek3
